id,name,quantity,volume,cover
1,Organic Valley Eggs,5650,600,7
2,ChefMaster Stainless Steel Mixing Bowls,5120,2000,5
3,Kirkland Signature Organic Milk,4880,1000,10
4,Tide Liquid Laundry Detergent,2820,1500,14
5,General Mills Honey Nut Cheerios,1250,450,20
6,Bounty Paper Towels,3260,700,30
7,Kleenex Ultra Soft Tissues,3670,400,30
8,Dawn Ultra Dishwashing Liquid,1600,800,10
9,Colgate Total Whitening Toothpaste,1900,300,5
10,Listerine Cool Mint Mouthwash,2400,1200,10
11,Johnson's Baby Shampoo,2300,450,7
12,Quaker Oats Old Fashioned Oatmeal,2100,900,20
13,Nature Valley Crunchy Granola Bars,1700,350,20
14,Planters Deluxe Whole Cashews,1600,650,10
15,Sabra Classic Hummus,1400,250,7
16,Fage Total 0% Greek Yogurt,2000,500,4
17,Oscar Mayer Deli Fresh Turkey Breast,2800,450,7
18,Hershey's Milk Chocolate Bars,2500,300,15
19,Red Bull Energy Drink,3200,250,10
20,Perrier Sparkling Natural Mineral Water,4100,350,10
21,Blue Diamond Almonds,3000,450,20
22,Campbell's Chicken Noodle Soup,2800,500,12
23,Kind Healthy Grains Granola Bars,2700,400,15
24,Ben & Jerry's Chocolate Fudge Brownie Ice Cream,2200,500,5
25,Nutella Hazelnut Spread,2400,600,8
26,Coca-Cola Classic,4900,300,10
27,Gatorade Thirst Quencher,3100,400,7
28,Charmin Ultra Soft Toilet Paper,3500,800,20
29,Heinz Tomato Ketchup,3700,600,12
30,Doritos Nacho Cheese Tortilla Chips,3300,500,10
