id,name,quantity,volume,cover
7,Kleenex Ultra Soft Tissues,5,400,30
14,Planters Deluxe Whole Cashews,4,650,10
4,Tide Liquid Laundry Detergent,1,1500,14
1,Organic Valley Eggs,4,600,7
3,Kirkland Signature Organic Milk,1,1000,10
6,Bounty Paper Towels,2,700,30
8,Dawn Ultra Dishwashing Liquid,1,800,10
15,Sabra Classic Hummus,3,250,7
17,Oscar Mayer Deli Fresh Turkey Breast,1,450,7
11,Johnson's Baby Shampoo,3,450,7
7,Kleenex Ultra Soft Tissues,4,400,30
3,Kirkland Signature Organic Milk,3,1000,10
9,Colgate Total Whitening Toothpaste,1,300,5
14,Planters Deluxe Whole Cashews,2,650,10
6,Bounty Paper Towels,3,700,30
14,Planters Deluxe Whole Cashews,1,650,10
1,Organic Valley Eggs,5,600,7
7,Kleenex Ultra Soft Tissues,4,400,30
1,Organic Valley Eggs,1,600,7
1,Organic Valley Eggs,1,600,7
