n,cst1,cst2,cst3,cst4,cst5,cst6,cst7,cst8,cst9,cst10,cst11,cst12,cst13,cst14,cst15,cst16,cst17,cst18,cst19,cst20,avg,min,max,std,moe
1,3324,3324,3424,3328,3312,3384,3292,3298,3298,3294,3320,3296,3340,3356,3368,3420,3408,3392,3326,3344,3342.4,3292,3424,43.27,18.96
2,3652,3718,3732,3742,3678,3722,3728,3674,3710,3622,3618,3594,3750,3696,3706,3692,3724,3724,3740,3788,3700.5,3594,3788,48.72,21.35
3,3354,3502,3456,3436,3390,3426,3374,3334,3498,3406,3336,3332,3466,3376,3348,3486,3564,3322,3364,3396,3408.3,3322,3564,68.47,30.01
4,3432,3422,3334,3354,3282,3348,3282,3266,3382,3380,3320,3394,3306,3256,3332,3310,3270,3308,3334,3364,3333.8,3256,3432,50.94,22.33
5,3336,3426,3482,3460,3368,3330,3264,3502,3352,3442,3416,3542,3472,3506,3446,3402,3450,3434,3450,3438,3425.9,3264,3542,67.72,29.68
6,3126,3172,3218,3206,3172,3214,3168,3154,3060,3088,3176,3168,3224,3196,3210,3208,3280,3148,3214,3230,3181.6,3060,3280,50.61,22.18
7,3318,3362,3368,3374,3350,3420,3306,3298,3356,3416,3340,3368,3372,3348,3344,3318,3376,3438,3354,3362,3359.4,3298,3438,36.12,15.83
8,3434,3560,3478,3480,3408,3508,3446,3406,3414,3478,3434,3390,3390,3444,3488,3468,3418,3462,3492,3464,3453.1,3390,3560,43.16,18.92
9,3498,3382,3336,3358,3322,3362,3336,3424,3348,3388,3314,3384,3338,3268,3348,3414,3428,3312,3368,3358,3364.3,3268,3498,50.51,22.14
10,3690,3646,3668,3606,3670,3654,3680,3642,3582,3706,3678,3648,3650,3592,3648,3656,3694,3646,3682,3654,3654.6,3582,3706,32.26,14.14
11,3632,3654,3622,3652,3624,3642,3696,3542,3628,3628,3658,3528,3680,3612,3654,3614,3708,3664,3618,3636,3634.6,3528,3708,43.08,18.88
12,3676,3654,3704,3668,3612,3650,3664,3602,3746,3698,3688,3662,3756,3622,3626,3686,3694,3754,3702,3662,3676.3,3602,3756,43.92,19.25
13,3552,3588,3592,3508,3634,3526,3562,3656,3576,3568,3538,3580,3580,3608,3518,3614,3610,3590,3556,3604,3578.0,3508,3656,38.31,16.79
14,3364,3466,3454,3422,3436,3430,3464,3362,3444,3492,3436,3294,3372,3494,3508,3416,3470,3456,3436,3444,3433.0,3294,3508,51.68,22.65
15,3330,3350,3460,3402,3480,3394,3410,3340,3366,3384,3340,3272,3366,3384,3228,3414,3360,3372,3432,3360,3372.2,3228,3480,57.71,25.29
16,3614,3524,3584,3502,3574,3570,3490,3474,3616,3590,3596,3530,3594,3612,3544,3574,3606,3542,3514,3622,3563.6,3474,3622,45.55,19.96
17,3528,3512,3544,3596,3580,3592,3520,3482,3502,3580,3542,3540,3558,3534,3460,3586,3524,3570,3520,3546,3540.8,3460,3596,36.74,16.1
